,model,dataset,top1,top5
42,resnet34,../data/genevec_images/dim=512_alg=MiniBatchKMeans_norm=abs-value_col=viridis,0.43291404843330383,0.7442348003387451
43,resnet34,../data/genevec_images/dim=512_alg=MiniBatchKMeans_norm=abs-value_col=seismic,0.40461215376853943,0.7400419116020203
44,resnet34,../data/genevec_images/dim=512_alg=GaussianMixture_norm=non-zero_col=viridis,0.4109014570713043,0.7557651996612549
45,resnet34,../data/genevec_images/dim=512_alg=GaussianMixture_norm=non-zero_col=seismic,0.42138364911079407,0.7651991844177246
46,resnet34,../data/genevec_images/dim=512_alg=GaussianMixture_norm=abs-value_col=viridis,0.402515709400177,0.7463312149047852
47,resnet34,../data/genevec_images/dim=512_alg=GaussianMixture_norm=abs-value_col=seismic,0.374213844537735,0.7316561937332153
48,resnet101,../data/genevec_images/dim=32_alg=MiniBatchKMeans_norm=non-zero_col=viridis,0.4570230543613434,0.7756813168525696
49,resnet101,../data/genevec_images/dim=32_alg=MiniBatchKMeans_norm=non-zero_col=seismic,0.4591194987297058,0.7631027102470398
50,resnet101,../data/genevec_images/dim=32_alg=MiniBatchKMeans_norm=abs-value_col=viridis,0.43291404843330383,0.7683438062667847
51,resnet101,../data/genevec_images/dim=32_alg=MiniBatchKMeans_norm=abs-value_col=seismic,0.428721159696579,0.7683438062667847
52,resnet101,../data/genevec_images/dim=32_alg=GaussianMixture_norm=non-zero_col=viridis,0.4591194987297058,0.7672955989837646
53,resnet101,../data/genevec_images/dim=32_alg=GaussianMixture_norm=non-zero_col=seismic,0.4580712914466858,0.7840670943260193
54,resnet101,../data/genevec_images/dim=32_alg=GaussianMixture_norm=abs-value_col=viridis,0.46121594309806824,0.7536687850952148
55,resnet101,../data/genevec_images/dim=32_alg=GaussianMixture_norm=abs-value_col=seismic,0.4371069073677063,0.7536687850952148
56,resnet101,../data/genevec_images/dim=128_alg=MiniBatchKMeans_norm=non-zero_col=viridis,0.4800838530063629,0.8144654035568237
57,resnet101,../data/genevec_images/dim=128_alg=MiniBatchKMeans_norm=non-zero_col=seismic,0.4979035556316376,0.803983211517334
58,resnet101,../data/genevec_images/dim=128_alg=MiniBatchKMeans_norm=abs-value_col=viridis,0.49685534834861755,0.7976939082145691
59,resnet101,../data/genevec_images/dim=128_alg=MiniBatchKMeans_norm=abs-value_col=seismic,0.4716981053352356,0.803983211517334
60,resnet101,../data/genevec_images/dim=128_alg=GaussianMixture_norm=non-zero_col=viridis,0.4916142523288727,0.8008385896682739
61,resnet101,../data/genevec_images/dim=128_alg=GaussianMixture_norm=non-zero_col=seismic,0.5062893033027649,0.8155136108398438
62,resnet101,../data/genevec_images/dim=128_alg=GaussianMixture_norm=abs-value_col=viridis,0.5157232880592346,0.7914046049118042
63,resnet101,../data/genevec_images/dim=128_alg=GaussianMixture_norm=abs-value_col=seismic,0.4800838530063629,0.7935010194778442
64,resnet101,../data/genevec_images/dim=512_alg=MiniBatchKMeans_norm=non-zero_col=viridis,0.45597484707832336,0.7830188870429993
65,resnet101,../data/genevec_images/dim=512_alg=MiniBatchKMeans_norm=non-zero_col=seismic,0.47693920135498047,0.8081761002540588
66,resnet101,../data/genevec_images/dim=512_alg=MiniBatchKMeans_norm=abs-value_col=viridis,0.4643605947494507,0.7725366950035095
67,resnet101,../data/genevec_images/dim=512_alg=MiniBatchKMeans_norm=abs-value_col=seismic,0.446540892124176,0.7767295837402344
68,resnet101,../data/genevec_images/dim=512_alg=GaussianMixture_norm=non-zero_col=viridis,0.4706498980522156,0.7851153016090393
69,resnet101,../data/genevec_images/dim=512_alg=GaussianMixture_norm=non-zero_col=seismic,0.44025155901908875,0.7683438062667847
70,resnet101,../data/genevec_images/dim=512_alg=GaussianMixture_norm=abs-value_col=viridis,0.4633123576641083,0.7777777910232544
71,resnet101,../data/genevec_images/dim=512_alg=GaussianMixture_norm=abs-value_col=seismic,0.4454926550388336,0.7767295837402344
